,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC,MEAN_PTS,MEAN_PTS_QTR1,MEAN_PTS_QTR2,MEAN_PTS_QTR3,MEAN_PTS_QTR4,MEAN_FG_PCT,MEAN_FT_PCT,MEAN_FG3_PCT,MEAN_AST,MEAN_REB,MEAN_TOV,MEAN_PTS_H,MEAN_FG_PCT_H,MEAN_FT_PCT_H,MEAN_FG3_PCT_H,MEAN_AST_H,MEAN_REB_H,MEAN_TOV_H,OPP_TEAM_ABBREVIATION,OPP_TEAM_WINS,OPP_TEAM_LOSSES,OPP_PTS,OPP_TEAM_MEAN_PTS,OPP_TEAM_MEAN_PTS_QTR1,OPP_TEAM_MEAN_PTS_QTR2,OPP_TEAM_MEAN_PTS_QTR3,OPP_TEAM_MEAN_PTS_QTR4,OPP_TEAM_MEAN_FG_PCT,OPP_TEAM_MEAN_FT_PCT,OPP_TEAM_MEAN_FG3_PCT,OPP_TEAM_MEAN_AST,OPP_TEAM_MEAN_REB,OPP_TEAM_MEAN_TOV,MEAN_PTS_A,MEAN_FG_PCT_A,MEAN_FT_PCT_A,MEAN_FG3_PCT_A,MEAN_AST_A,MEAN_REB_A,MEAN_TOV_A,W/L 1/0,LAST_2_MH,LAST_3_MH,LAST_5_MH,LAST_2_MA,LAST_3_MA,LAST_5_MA
64,6455,2019-10-31,ATL,2,3,97,26,20,29,22,40.9,69.2,20.6,20,50,16,1,105.0,31.75,24.75,23.75,24.75,46.875,68.625,31.75,25.0,43.0,18.0,103.0,47.05,61.05,31.65,22.5,48.5,19.5,MIA,4,1,106,118.0,26.25,29.5,28.5,31.25,46.8,72.125,39.725,23.75,48.75,21.0,120.0,47.45,65.3,39.05,29.0,47.5,18.5,0,,,,,,
65,6456,2019-11-01,NOP,1,4,122,32,24,30,36,53.2,78.1,45.5,30,37,15,1,121.0,29.5,30.75,29.25,30.25,45.175,73.5,36.675000000000004,30.75,46.0,16.25,119.5,46.25,63.9,34.25,33.0,44.5,14.5,DEN,3,2,107,105.75,22.75,27.5,25.25,27.0,41.275,80.45,36.074999999999996,22.0,48.5,13.25,104.5,39.35,86.0,42.0,21.5,49.5,14.5,1,,,,,,
67,6458,2019-11-01,BKN,2,3,123,24,37,34,28,49.4,71.4,59.4,26,55,20,1,120.0,28.5,31.5,31.75,22.25,45.65,66.975,38.225,22.25,50.25,19.5,115.66666666666667,46.333333333333336,62.26666666666667,39.86666666666667,20.333333333333332,49.333333333333336,20.333333333333332,HOU,3,2,116,128.0,29.0,34.75,32.75,31.5,44.775,82.0,31.875,26.75,46.5,15.0,159.0,53.4,78.8,42.6,34.0,44.0,13.0,1,1.0,,,,,
68,6459,2019-11-01,IND,2,3,102,19,23,26,34,40.6,90.5,18.5,20,57,12,1,105.25,27.0,27.0,26.25,25.0,44.825,82.44999999999999,36.175,24.5,39.5,12.0,110.0,46.1,83.3,38.1,26.0,36.0,15.0,CLE,2,3,95,106.0,26.5,25.5,26.75,27.25,46.275,74.025,33.625,21.75,48.25,15.5,98.5,41.25,75.0,28.65,19.5,51.0,13.5,1,,,,,,
69,6460,2019-11-01,ORL,2,3,91,27,14,30,20,37.4,64.7,32.4,21,40,16,1,95.75,24.5,23.75,23.0,24.5,39.650000000000006,77.125,28.6,21.25,47.75,11.5,94.5,42.5,66.45,33.75,24.0,49.0,10.0,MIL,3,2,123,119.25,30.0,29.25,25.25,33.5,47.150000000000006,64.075,35.525,25.75,48.75,14.0,111.0,46.4,56.25,32.95,26.0,49.0,13.0,0,,,,,,
70,6461,2019-11-01,BOS,4,1,104,22,27,26,29,44.6,93.1,32.4,21,44,14,1,109.75,22.0,24.5,30.0,33.25,41.25,74.775,34.8,22.0,46.75,10.0,114.0,41.55,87.4,37.85,23.0,50.5,9.0,NYK,1,5,102,100.6,20.4,27.4,28.6,24.2,42.42,67.66,36.16,18.8,48.0,18.6,101.0,43.833333333333336,66.43333333333334,41.300000000000004,20.0,40.666666666666664,17.0,1,,,,2.0,,
71,6462,2019-11-02,CHI,2,4,112,30,27,29,26,43.8,78.3,40.0,29,42,17,1,105.6,27.0,22.4,30.2,26.0,41.06,77.67999999999999,29.18,21.0,41.8,10.6,84.0,29.9,68.0,25.7,18.0,45.0,15.0,DET,2,4,106,107.8,29.8,28.4,23.8,25.8,48.00000000000001,78.38,43.160000000000004,23.4,41.8,18.8,116.0,49.6,76.35,46.25,28.0,43.5,19.0,1,,,,,,
72,6463,2019-11-02,DAL,3,2,110,25,33,27,18,39.2,69.6,38.9,23,61,22,1,114.75,29.5,36.75,24.75,23.75,45.675,72.8,31.674999999999997,24.0,45.75,12.25,113.5,42.75,79.9,28.3,22.0,46.0,15.0,LAL,4,1,119,109.25,26.5,25.75,31.25,25.75,45.55,78.45,33.15,23.5,46.0,14.75,102.0,43.5,71.4,39.4,20.0,41.0,14.0,0,,,,,,
73,6464,2019-11-02,SAC,1,5,102,28,23,30,21,48.8,70.6,27.6,15,38,16,1,98.6,28.4,26.8,19.2,24.2,40.8,74.1,32.940000000000005,20.2,41.6,17.4,105.66666666666667,42.63333333333333,74.23333333333333,34.43333333333334,22.666666666666668,43.333333333333336,14.666666666666666,UTA,4,2,101,101.0,27.2,22.8,25.2,25.8,47.04,74.88000000000001,36.739999999999995,20.8,43.4,18.2,91.0,39.7,88.65,32.15,19.0,44.5,22.5,1,0.0,,,,,
74,6465,2019-11-02,GSW,1,4,110,28,27,31,24,46.4,90.5,46.4,25,39,11,1,114.5,22.5,29.75,29.0,33.25,41.225,85.525,29.875,26.25,46.25,15.75,116.0,41.65,90.0,32.150000000000006,25.5,42.5,15.5,SAS,4,1,127,113.5,23.75,29.25,30.0,30.5,47.525000000000006,76.175,33.525,22.75,50.75,16.75,97.0,45.0,66.7,33.3,15.0,49.0,19.0,0,,,,,,
